-1.1671,-0.17799,3.393
0.42334,-0.56904,4.27
-0.48674,0.41131,3.463
-0.8203,0.68427,1.274
0.5531,-0.8912,4.301
-1.0658,0.098474,3.168
-1.2443,-0.2552,3.561
0.60303,0.4511,1.045
0.032844,0.45122,1.206
0.17842,-0.24053,4.152
-1.0117,-0.74214,3.691
-0.77116,-0.97052,3.814
-1.0873,-0.2794,3.623
-0.77968,-1.0814,3.818
0.091834,0.40037,0.772
-0.048915,0.33956,0.819
-0.58768,-0.23432,3.863
-1.0572,-1.0683,3.709
1.7339,-0.97071,3.146
1.4242,-0.053864,3.334
-0.87855,0.47706,1.5
0.26276,-0.13342,4.18
0.24541,0.46142,1.47
-0.93235,-0.85139,3.738
1.1681,0.75143,2.146
-1.0652,-1.2215,3.719
-0.491,-0.34186,3.912
0.067398,-0.52864,4.137
1.8346,-1.1665,3.105
0.076234,0.30684,1.226
-0.099337,0.37547,1.304
-1.1741,-0.50686,3.6
-1.2565,-0.37287,3.568
0.64255,-0.069649,4.309
-1.1241,-0.85165,3.662
0.72948,-0.63663,4.352
0.4572,0.35791,2.062
0.11816,-0.27336,4.133
0.57049,-0.28879,4.277
-0.17745,0.29704,0.671
0.5877,0.42658,1.14
-0.90188,-1.1611,3.771
-0.15636,0.25835,1.416
-1.1545,-0.33926,3.6
-1.0941,-0.39164,3.629
-0.95906,-1.1628,3.752
0.58095,0.50956,2.199
0.075996,-1.0414,4.148
-0.081409,-0.31904,4.066
-0.86752,-1.0653,3.779
-0.10476,0.34826,1.316
-0.21282,0.30858,1.042
-0.29892,0.31069,1.215
-0.43094,-0.0016042,3.879
-0.12195,-0.02092,4.023
-0.028917,0.33551,0.668
-0.97168,-0.93952,3.732
0.14242,0.44965,1.294
-1.1969,-0.28342,3.58
-0.20467,0.32069,1.078
0.013326,0.38897,1.231
-0.81184,-0.74541,3.785
-0.89544,-0.73995,3.744
-1.0271,-0.35178,2.189
-0.85602,-0.99948,3.785
0.30347,0.43087,1.556
0.31277,0.28576,1.555
0.56912,0.43268,1.025
0.32789,0.38593,1.581
-0.80387,0.60053,2.287
1.4779,0.15021,2.277
0.17012,0.36824,1.323
-0.82756,-1.1301,3.797
-0.077085,0.33414,0.845
-1.2587,-0.74124,3.588
-0.53203,-0.46357,3.9
-0.20215,0.27084,0.716
-0.97646,-1.2239,3.75
-1.1009,-0.79106,3.66
-0.073306,-0.4652,4.078
-0.53223,-0.5226,3.902
-1.2172,-1.3818,3.678
-0.36001,-0.4536,3.977
-0.87605,-0.83335,3.76
-0.54986,-0.023767,3.613
0.43929,0.41525,0.829
-0.27978,0.26456,0.772
-0.95861,-0.43382,3.691
-0.91373,-0.98151,3.756
-1.0454,-0.38405,3.65
-1.1469,-0.69281,3.631
0.092658,0.398,0.968
-0.83015,-0.53232,3.762
-1.0917,-0.89863,3.68
-0.94444,-0.76681,3.725
0.1467,0.33566,1.262
0.14734,0.42617,1.298
-0.94188,-0.37612,3.695
-1.4111,-0.66188,3.545
-0.20941,0.28409,1.237