462.98,577.02
1110,459.03
760,827.06
25.034,1437.9
1153,351.05
473.97,699.01
454.99,548.98
1807.9,1284
1005,1200
1028,569.03
565,360.02
669.99,282.05
527,541.01
667.04,240.04
1138.9,1410.9
878.02,1259
743.09,565.05
549.01,233.04
1770,203.06
1589,630.03
109.98,1118
1057,607.01
1209,1112
601.02,321.03
1760.1,1164.9
547.01,174.02
781.96,526.02
989.03,467.03
1828,105.04
1056,1019.1
854,1074.1
489,448.03
451.01,501.02
1183,630.02
517,314.02
1210,440.01
1289,907.08
1007,557.04
1160,555.03
579.08,1300
1718,1200
616.01,204.03
804,920.04
496.97,516.01
524.98,496.04
591.99,201.07
1351,991.99
991.99,287.03
936,539.04
630.02,242
849,1040.1
666.99,1086
605.99,1027
803.01,653.02
920.97,646.03
902.03,1387
585.05,286.02
1126,1161
477.02,538.02
687.99,1088
981.04,1115
652.04,366.05
616,365.03
280.05,418.96
634.99,268.03
1250,1058
1258.9,921.96
1776,1270
1268.1,1010.1
451.97,1037.1
1913,749.95
1153,1060.1
646.98,219.03
832.03,1231
453,351.96
766.04,480.05
552.97,1206
585.01,177.03
526,338.01
938.99,487.05
766.06,458.05
481.99,105.02
833.05,487.07
625.02,329.98
743,644.02
1739,1385
436.03,1154
586,482
610,272.04
547.03,499.98
503.99,375
1105,1254
643.01,447
532.04,297.05
595.01,353.03
1135,1042
1131,1133.1
593.02,504.98
383.99,380.99
718.03,988.98